,eng,mani
1128,o you who believe when death approaches one of you let two reliable persons from among you act as witnesses to the making of a bequest or two persons from another people if you are travelling in the land and the event of death approaches you engage them after the prayer if you have doubts let them swear by god we will not sell our testimony for any price even if he was a near relative and we will not conceal gods testimony for then we would be sinners,"ꯍꯦ ꯊꯥꯖꯕꯥ ꯃꯤꯁꯤꯡ ꯅꯈꯣꯌꯒꯤ ꯃꯔꯛꯇꯒꯤ ꯑꯃꯅꯥ ꯁꯤꯕꯥ ꯂꯥꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯅꯈꯣꯌꯒꯤ ꯃꯔꯛꯇꯒꯤ ꯊꯥꯖꯕꯥ ꯌꯥꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯅꯤꯅꯥ ꯋꯥꯁꯛ ꯑꯃꯥ ꯁꯦꯝꯕꯒꯤ ꯁꯥꯛꯁꯤ ꯑꯣꯏꯅꯥ ꯊꯕꯛ ꯇꯧꯕꯤꯌꯨ ꯅꯠꯔꯒꯥ ꯑꯇꯣꯞꯄꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯗꯒꯤ ꯃꯤꯑꯣꯏ ꯑꯅꯤꯅꯥ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯅꯈꯣꯌꯅꯥ ꯂꯝ ꯑꯗꯨꯗꯥ ꯆꯠꯂꯕꯗꯤ ꯑꯃꯁꯨꯡ ꯁꯤꯕꯒꯤ ꯊꯧꯗꯣꯛ ꯂꯥꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯅꯈꯣꯌꯅꯥ ꯃꯈꯣꯌꯕꯨ ꯑꯦꯉ꯭ꯒꯦꯖ ꯇꯧꯕꯤꯌꯨ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ...  ꯀꯔꯤꯒꯨꯝꯕꯥ ꯅꯍꯥꯛꯅꯥ ꯆꯤꯡꯅꯕꯥ ꯂꯩꯔꯕꯗꯤ ꯃꯈꯣꯌꯅꯥ ꯏꯄꯨꯔꯣꯌꯒꯤ ꯃꯐꯃꯗꯥ ꯋꯥꯁꯀꯄꯤꯌꯨ ꯑꯩꯈꯣꯌꯅꯥ ꯑꯩꯈꯣꯌꯒꯤ ꯁꯥꯛꯁꯤ ꯑꯗꯨ ꯃꯃꯜ ꯑꯃꯠꯇꯗꯥ ꯌꯣꯜꯂꯣꯏ, ꯃꯍꯥꯛ ꯅꯛꯅꯕꯥ ꯃꯔꯨꯞ ꯑꯣꯏꯔꯕꯁꯨ ꯑꯩꯈꯣꯌꯅꯥ ꯏꯄꯨꯔꯣꯌꯒꯤ ꯁꯥꯛꯁꯤ ꯑꯗꯨ ꯂꯣꯠꯁꯤꯅꯔꯣꯏ ꯃꯔꯃꯗꯤ ꯃꯇꯝ ꯑꯗꯨꯗꯥ ꯑꯩꯈꯣꯌ ꯄꯥꯄꯆꯦꯅꯕꯥ ꯑꯣꯏꯒꯅꯤ꯫"
1129,if it is discovered that they are guilty of perjury let two others take their place two from among those responsible for the claim and have them swear by god our testimony is more truthful than their testimony and we will not be biased for then we would be wrongdoers,ꯀꯔꯤꯒꯨꯝꯕꯥ ꯃꯈꯣꯌꯅꯥ ꯑꯔꯥꯅꯕꯥ ꯋꯥꯌꯦꯜ ꯄꯤꯕꯒꯤ ꯃꯔꯥꯜ ꯂꯩꯔꯦ ꯍꯥꯌꯕꯥ ꯈꯉꯂꯕꯗꯤ ꯑꯇꯣꯞꯄꯥ ꯑꯅꯤꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯃꯐꯝ ꯑꯗꯨ ꯀ꯭ꯂꯦꯝ ꯑꯗꯨꯒꯤ ꯗꯥꯌꯠꯕ ꯂꯧꯔꯤꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯃꯔꯛꯇꯥ ꯑꯅꯤ ꯂꯧꯔꯒꯥ ꯏꯁ꯭ꯕꯔꯗꯥ ꯋꯥꯁꯀꯄꯤꯌꯨ ꯑꯩꯈꯣꯌꯒꯤ ꯁꯥꯛꯁꯤ ꯑꯁꯤ ꯃꯈꯣꯌꯒꯤ ꯁꯥꯛꯁꯤꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯑꯆꯨꯝꯕꯥ ꯑꯣꯏ ꯑꯃꯁꯨꯡ ꯑꯩꯈꯣꯌꯅꯥ ꯕꯥꯏꯑꯦꯖ ꯇꯧꯔꯣꯏ ꯃꯔꯃꯗꯤ ꯃꯇꯝ ꯑꯗꯨꯗꯥ ꯑꯩꯈꯣꯌꯅꯥ ꯑꯔꯥꯅꯕꯥ ꯇꯧꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ ꯑꯣꯏꯒꯅꯤ꯫
1130,that makes it more likely that they will give true testimony fearing that their oaths might be contradicted by subsequent oaths so fear god and listen god does not guide the disobedient people,ꯃꯗꯨꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯋꯥꯁꯛ ꯑꯗꯨ ꯃꯇꯨꯡ ꯇꯥꯔꯀꯄꯥ ꯋꯥꯁꯀꯁꯤꯡꯅꯥ ꯊꯨꯒꯥꯏꯔꯀꯄꯥ ꯌꯥꯏ ꯍꯥꯌꯅꯥ ꯀꯤꯗꯨꯅꯥ ꯃꯈꯣꯌꯅꯥ ꯑꯆꯨꯝꯕꯥ ꯁꯥꯛꯁꯤ ꯄꯤꯒꯅꯤ ꯍꯥꯌꯕꯒꯤ ꯊꯥꯖꯕꯥ ꯍꯦꯅꯒꯠꯍꯜꯂꯤ ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯏꯄꯨꯔꯣꯌꯕꯨ ꯊꯥꯖꯕꯤꯌꯨ ꯑꯃꯁꯨꯡ ꯇꯥꯕꯤꯌꯨ ꯏꯄꯨꯔꯣꯌꯅꯥ ꯌꯥꯅꯤꯡꯗꯕꯥ ꯃꯤꯁꯤꯡꯕꯨ ꯂꯃꯖꯤꯡꯕꯤꯗꯦ꯫
1131,on the day when god will gather the messengers then say what response were you given they will say we have no knowledge it is you who are the knower of the unseen,ꯏꯁ꯭ꯕꯔꯅꯥ ꯔꯁꯨꯂꯁꯤꯡꯕꯨ ꯈꯣꯃꯖꯤꯜꯂꯀꯄꯥ ꯅꯨꯃꯤꯠ ꯑꯗꯨꯗꯥ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯍꯥꯌꯒꯅꯤ ꯑꯗꯣꯃꯗꯥ ꯀꯔꯤ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯈꯤꯕꯒꯦ ꯃꯈꯣꯌꯅꯥ ꯍꯥꯌꯒꯅꯤ ꯑꯩꯈꯣꯌꯗꯥ ꯂꯧꯁꯤꯡ ꯂꯩꯇꯦ ꯃꯁꯤ ꯅꯍꯥꯛꯅꯤ ꯃꯗꯨꯗꯤ ꯎꯕꯥ ꯐꯪꯗꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯈꯉꯕꯥ ꯃꯤꯁꯛ ꯑꯗꯨꯅꯤ꯫
1132,when god will say o jesus son of mary recall my favor upon you and upon your mother how i supported you with the holy spirit you spoke to the people from the crib and in maturity how i taught you the scripture and wisdom and the torah and the gospel and recall that you molded from clay the shape of a bird by my leave and then you breathed into it and it became a bird by my leave and you healed the blind and the leprous by my leave and you revived the dead by my leave and recall that i restrained the children of israel from you when you brought them the clear miracles but those who disbelieved among them said this is nothing but obvious sorcery,ꯏꯄꯨꯔꯣꯌꯅꯥ ꯍꯥꯌꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯑꯣ ꯃꯦꯔꯤꯒꯤ ꯃꯆꯥꯅꯨꯄꯥ ꯌꯤꯁꯨ ꯑꯩꯅꯥ ꯅꯉꯣꯟꯗꯥ ꯑꯃꯁꯨꯡ ꯅꯉꯒꯤ ꯏꯃꯥꯗꯥ ꯑꯩꯒꯤ ꯊꯧꯖꯥꯜ ꯅꯤꯡꯁꯤꯡꯕꯤꯌꯨ ꯑꯩꯅꯥ ꯅꯉꯕꯨ ꯃꯇꯧ ꯀꯔꯝꯅꯥ ꯑꯁꯦꯡꯕꯥ ꯊꯋꯥꯌꯅꯥ ꯃꯇꯦꯡ ꯄꯥꯡꯈꯤꯕꯒꯦ ꯅꯉꯅꯥ ꯃꯤꯁꯤꯡꯒꯥ ꯋꯥꯔꯤ ꯁꯥꯅꯈꯤꯕꯗꯨ ꯀ꯭ꯔꯤꯕꯇꯒꯤ ꯑꯃꯁꯨꯡ ꯄꯤꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯑꯩꯅꯥ ꯅꯉꯕꯨ ꯀꯔꯝꯅꯥ ꯁꯥꯁ꯭ꯠꯔ ꯑꯃꯁꯨꯡ ꯂꯧꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯇꯣꯔꯥꯍ ꯑꯃꯁꯨꯡ... ꯋꯥꯄꯥꯎ ꯁꯟꯗꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯅꯤꯡꯁꯤꯡꯕꯤꯌꯨ ꯃꯗꯨꯗꯤ ꯅꯍꯥꯛꯅꯥ ꯑꯩꯒꯤ ꯈꯣꯉꯊꯥꯡꯅꯥ ꯀ꯭ꯂꯦꯏꯗꯒꯤ ꯁꯥ ꯑꯃꯒꯤ ꯃꯑꯣꯡ ꯃꯇꯧ ꯁꯦꯃꯈꯤ ꯑꯃꯁꯨꯡ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯅꯍꯥꯛꯅꯥ ꯃꯗꯨꯗꯥ ꯁ꯭ꯕꯔ ꯍꯣꯅꯈꯤ ꯑꯃꯁꯨꯡ ꯃꯁꯤ ꯑꯩꯒꯤ ꯈꯣꯉꯊꯥꯡꯅꯥ ꯁꯥ ꯑꯃꯥ ꯑꯣꯏꯔꯀꯈꯤ ꯑꯃꯁꯨꯡ ꯅꯍꯥꯛꯅꯥ ꯑꯩꯒꯤ ꯈꯣꯉꯊꯥꯡꯅꯥ ꯃꯃꯤꯠ ꯇꯥꯡꯕꯥ ꯑꯃꯁꯨꯡ ꯀꯨꯏꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯕꯨ ꯐꯒꯠꯍꯅꯈꯤ ꯑꯃꯁꯨꯡ ꯅꯍꯥꯛꯅꯥ ꯑꯩꯒꯤ ꯈꯣꯉꯊꯥꯡꯗꯒꯤ ꯑꯁꯤꯕꯁꯤꯡꯕꯨ ꯍꯤꯡꯒꯠꯍꯅꯈꯤ ꯑꯃꯁꯨꯡ... ꯅꯍꯥꯛꯅꯥ ꯃꯈꯣꯌꯗꯥ ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯑꯉꯀꯄꯥ ꯊꯕꯀꯁꯤꯡ ꯄꯨꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯑꯩꯅꯥ ꯏꯁ꯭ꯔꯥꯌꯦꯂꯒꯤ ꯃꯆꯥꯁꯤꯡꯕꯨ ꯅꯈꯣꯌꯗꯒꯤ ꯉꯥꯀꯊꯣꯀꯈꯤ ꯍꯥꯌꯕꯁꯤ ꯅꯤꯡꯁꯤꯡꯕꯤꯌꯨ ꯑꯗꯨꯕꯨ ꯃꯈꯣꯌꯒꯤ ꯃꯔꯛꯇꯥ ꯊꯥꯖꯗꯕꯁꯤꯡꯅꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯃꯁꯤ ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯂꯃꯆꯠ ꯁꯥꯖꯠ ꯅꯠꯇꯅꯥ ꯑꯇꯩ ꯀꯔꯤꯁꯨ ꯅꯠꯇꯦ꯫
1133,and when i inspired the disciples believe in me and in my messenger they said we have believed so bear witness that we have submitted,ꯑꯃꯁꯨꯡ ꯑꯩꯅꯥ ꯁꯤꯁ꯭ꯌꯁꯤꯡꯗꯥ ꯑꯩꯉꯣꯟꯗꯥ ꯑꯃꯁꯨꯡ ꯑꯩꯒꯤ ꯔꯁꯨꯂꯗꯥ ꯊꯥꯖꯕꯤꯌꯨ ꯍꯥꯌꯅꯥ ꯏꯊꯤꯜ ꯄꯤꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯃꯈꯣꯌꯅꯥ ꯍꯥꯌꯈꯤ ꯑꯩꯈꯣꯌꯅꯥ ꯑꯁꯨꯛ ꯌꯥꯝꯅꯥ ꯊꯥꯖꯔꯦ ꯃꯗꯨꯗꯤ ꯑꯩꯈꯣꯌꯅꯥ ꯊꯥꯖꯕꯥ ꯊꯝꯂꯤ ꯍꯥꯌꯕꯒꯤ ꯁꯥꯛꯁꯤ ꯄꯤꯌꯨ꯫
1134,and when the disciples said o jesus son of mary is your lord able to bring down for us a feast from heaven he said fear god if you are believers,"ꯑꯗꯨꯒꯥ ꯁꯤꯁ꯭ꯌꯁꯤꯡꯅꯥ ꯍꯥꯌꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯍꯦ ꯃꯦꯔꯤꯒꯤ ꯃꯆꯥ ꯅꯤꯄꯥ ꯌꯤꯁꯨ ꯅꯍꯥꯛꯀꯤ ꯏꯕꯨꯡꯉꯣꯅꯥ ꯑꯩꯈꯣꯌꯒꯤꯗꯃꯛ ꯁ꯭ꯕꯔꯒꯗꯒꯤ ꯀꯨꯝꯃꯩ ꯑꯃꯥ ꯄꯨꯔꯀꯄꯥ ꯉꯃꯒꯅꯤ ꯍꯥꯌꯅꯥ ꯃꯍꯥꯛꯅꯥ ꯍꯥꯌꯈꯤ, ꯀꯔꯤꯒꯨꯝꯕꯥ ꯅꯍꯥꯛꯅꯥ ꯊꯥꯖꯕꯥ ꯌꯥꯕꯥ ꯑꯣꯏꯔꯕꯗꯤ ꯏꯁ꯭ꯕꯔꯕꯨ ꯀꯤꯒꯅꯨ꯫"
1135,they said we wish to eat from it so that our hearts may be reassured and know that you have told us the truth and be among those who witness it,ꯃꯈꯣꯌꯅꯥ ꯍꯥꯌꯈꯤ꯫
1136,jesus son of mary said o god our lord send down for us a table from heaven to be a festival for us for the first of us and the last of us and a sign from you and provide for us you are the best of providers,ꯃꯦꯔꯤꯒꯤ ꯃꯆꯥ ꯅꯤꯄꯥ ꯌꯤꯁꯨꯅꯥ ꯍꯥꯌꯈꯤ ꯍꯦ ꯏꯁ꯭ꯕꯔ ꯑꯩꯈꯣꯌꯒꯤ ꯏꯕꯨꯡꯉꯣ ꯑꯩꯈꯣꯌꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯑꯔꯣꯏꯕꯥ ꯃꯤꯁꯤꯡꯒꯤꯗꯃꯛ ꯑꯩꯈꯣꯌꯒꯤꯗꯃꯛ ꯀꯨꯝꯃꯩ ꯑꯃꯥ ꯑꯣꯏꯅꯕꯥ ꯁ꯭ꯕꯔꯒꯗꯒꯤ ꯇꯦꯕꯜ ꯑꯃꯥ ꯊꯥꯕꯤꯌꯨ ꯑꯃꯁꯨꯡ ꯅꯍꯥꯛꯀꯤ ꯃꯐꯃꯗꯒꯤ ꯈꯨꯗꯝ ꯑꯃꯥ ꯄꯤꯕꯤꯌꯨ ꯑꯃꯁꯨꯡ ꯑꯩꯈꯣꯌꯒꯤꯗꯃꯛ ꯄꯤꯕꯤꯌꯨ ꯅꯍꯥꯛ ꯈ꯭ꯕꯥꯏꯗꯒꯤ ꯐꯕꯥ ꯄꯤꯕꯤꯕꯁꯤꯡꯅꯤ꯫
1137,god said i will send it down to you but whoever among you disbelieves thereafter i will punish him with a punishment the like of which i never punish any other being,ꯏꯁ꯭ꯕꯔꯅꯥ ꯍꯥꯌꯔꯝꯃꯤ ꯑꯩꯅꯥ ꯅꯈꯣꯌꯗꯥ ꯊꯥꯔꯛꯀꯅꯤ ꯑꯗꯨꯕꯨ ꯅꯈꯣꯌꯒꯤ ꯃꯔꯛꯇꯥ ꯀꯅꯥꯒꯨꯝꯕꯥ ꯑꯃꯅꯥ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯊꯥꯖꯗꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨꯕꯨ ꯑꯩꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯀꯩꯗꯧꯉꯩꯗꯁꯨ ꯑꯇꯣꯞꯄꯥ ꯖꯤꯕ ꯑꯃꯠꯇꯗꯥ ꯆꯩꯔꯥꯛ ꯄꯤꯗꯕꯥ ꯆꯩꯔꯥꯛ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯆꯩꯔꯥꯛ ꯄꯤꯒꯅꯤ꯫
1138,and god will say o jesus son of mary did you say to the people take me and my mother as gods rather than god he will say glory be to you it is not for me to say what i have no right to had i said it you would have known it you know what is in my soul and i do not know what is in your soul you are the knower of the hidden,ꯑꯃꯁꯨꯡ ꯏꯄꯨꯔꯣꯌꯅꯥ ꯍꯥꯌꯒꯅꯤ ꯑꯣ ꯃꯦꯔꯤꯒꯤ ꯃꯆꯥ ꯌꯤꯁꯨ ꯅꯍꯥꯛꯅꯥ ꯃꯤꯁꯤꯡꯗꯥ ꯍꯥꯌꯈꯤꯕꯔꯥ ꯑꯩ ꯑꯃꯁꯨꯡ ꯑꯩꯒꯤ ꯏꯃꯥꯕꯨ ꯏꯁ꯭ꯕꯔꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯏꯁ꯭ꯕꯔ ꯑꯣꯏꯅꯥ ꯂꯧꯕꯤꯌꯨ ꯃꯍꯥꯛꯅꯥ ꯍꯥꯌꯒꯅꯤ ꯅꯉꯕꯨ ꯃꯁꯛ ꯊꯣꯀꯄꯥ ꯑꯣꯏꯔꯁꯅꯨ ꯑꯩꯒꯤ ꯍꯛ ꯂꯩꯇꯕꯥ ꯋꯥꯐꯝ ꯑꯁꯤ ꯑꯩꯅꯥ ꯍꯥꯌꯕꯥ ꯑꯁꯤ ꯑꯩꯅꯥ ꯅꯉꯕꯨ ꯍꯥꯌꯕꯤꯔꯝꯂꯕꯗꯤ꯫ ꯈꯉꯂꯃꯒꯅꯤ ꯅꯉꯅꯥ ꯑꯩꯒꯤ ꯊꯋꯥꯌꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯑꯗꯨ ꯈꯉꯏ ꯑꯃꯁꯨꯡ ꯅꯉꯒꯤ ꯊꯋꯥꯌꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯑꯗꯨ ꯑꯩꯅꯥ ꯈꯉꯗꯦ ꯅꯉꯅꯥ ꯂꯣꯠꯇꯨꯅꯥ ꯂꯩꯔꯤꯕꯥ ꯑꯗꯨ ꯈꯉꯕꯥ ꯃꯤꯁꯀꯅꯤ꯫
1139,i only told them what you commanded me that you shall worship god my lord and your lord and i was a witness over them while i was among them but when you took me to yourself you became the watcher over themyou are witness over everything,ꯑꯩꯅꯥ ꯃꯈꯣꯌꯗꯥ ꯅꯉꯅꯥ ꯑꯩꯉꯣꯟꯗꯥ ꯌꯥꯊꯪ ꯄꯤꯔꯀꯈꯤꯕꯥ ꯑꯗꯨ ꯈꯛꯇꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯅꯈꯣꯌꯅꯥ ꯏꯄꯨꯔꯣꯌꯕꯨ ꯑꯩꯒꯤ ꯏꯕꯨꯡꯉꯣ ꯑꯃꯁꯨꯡ ꯅꯈꯣꯌꯒꯤ ꯏꯕꯨꯡꯉꯣꯕꯨ ꯈꯨꯔꯨꯃꯖꯒꯅꯤ ꯑꯃꯁꯨꯡ ꯑꯩꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯃꯔꯛꯇꯥ ꯂꯩꯔꯤꯉꯩꯗꯥ ꯃꯈꯣꯌꯒꯤ ꯃꯊꯛꯇꯥ ꯁꯥꯛꯁꯤ ꯑꯣꯏꯈꯤ ꯑꯗꯨꯕꯨ ꯅꯉꯅꯥ ꯑꯩꯕꯨ ꯅꯉꯒꯤ ꯃꯐꯃꯗꯥ ꯂꯧꯁꯤꯅꯖꯕꯥ ꯃꯇꯃꯗꯥ ꯅꯉꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯃꯊꯛꯇꯥ ꯌꯦꯡꯁꯤꯅꯕꯤꯕꯥ ꯃꯤꯁꯛ ꯑꯣꯏꯈꯤꯅꯍꯥꯛ ꯄꯣꯠ ꯈꯨꯗꯤꯡꯃꯛꯀꯤ ꯁꯥꯛꯁꯤ ꯑꯣꯏꯔꯝꯃꯤ꯫
1140,if you punish them they are your servants but if you forgive them you are the mighty and wise,ꯀꯔꯤꯒꯨꯝꯕꯥ ꯅꯍꯥꯛꯅꯥ ꯃꯈꯣꯌꯕꯨ ꯆꯩꯔꯥꯛ ꯄꯤꯔꯕꯗꯤ ꯃꯈꯣꯌ ꯅꯍꯥꯛꯀꯤ ꯆꯥꯀꯆꯥ-ꯌꯨꯊꯛꯅꯤ ꯑꯗꯨꯕꯨ ꯅꯍꯥꯛꯅꯥ ꯃꯈꯣꯌꯕꯨ ꯊꯧꯖꯥꯜ ꯄꯤꯕꯤꯔꯕꯗꯤ ꯅꯍꯥꯛ ꯑꯁꯤ ꯃꯄꯥꯉ꯭ꯒꯜ ꯀꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯂꯧꯁꯤꯡꯅꯤ꯫
1141,god will say this is a day when the truthful will benefit from their truthfulness they will have gardens beneath which rivers flow wherein they will remain forever god is pleased with them and they are pleased with him that is the great attainment,ꯏꯁ꯭ꯕꯔꯅꯥ ꯍꯥꯌꯒꯅꯤ ꯃꯁꯤ ꯑꯆꯨꯝꯕꯥ ꯋꯥꯌꯦꯂꯁꯤꯡꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯑꯆꯨꯝꯕꯥ ꯋꯥꯐꯃꯗꯒꯤ ꯀꯥꯟꯅꯕꯥ ꯐꯪꯒꯗꯕꯥ ꯅꯨꯃꯤꯠꯅꯤ ꯃꯈꯣꯌꯒꯤ ꯃꯈꯥꯗꯥ ꯇꯨꯔꯦꯂꯁꯤꯡ ꯆꯦꯟꯊꯔꯀꯄꯥ ꯕꯥꯒꯥꯅꯁꯤꯡ ꯂꯩꯒꯅꯤ ꯃꯗꯨꯗꯥ ꯃꯈꯣꯌꯅꯥ ꯃꯇꯝ ꯆꯨꯞꯄꯗꯥ ꯂꯩꯒꯅꯤ ꯏꯁ꯭ꯕꯔꯅꯥ ꯃꯈꯣꯌꯗꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯐꯥꯑꯣꯏ ꯑꯃꯁꯨꯡ ꯃꯈꯣꯌꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯐꯥꯑꯣꯒꯅꯤ ꯃꯗꯨꯗꯤ ꯑꯆꯧꯕꯥ ꯐꯪꯐꯝ ꯊꯣꯀꯄꯥ ꯑꯗꯨꯅꯤ꯫
1142,to god belongs the sovereignty of the heavens and the earth and what lies in them and he has power over everything,ꯑꯇꯤꯌꯥ ꯑꯃꯁꯨꯡ ꯄ꯭ꯔ꯭ꯏꯊꯤꯕꯤ ꯑꯃꯁꯨꯡ ꯃꯈꯣꯌꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯄꯣꯠꯁꯤꯡꯒꯤ ꯃꯄꯨꯟꯁꯤ ꯏꯄꯨꯔꯣꯌꯒꯤꯅꯤ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯄꯣꯠ ꯈꯨꯗꯤꯡꯃꯛꯀꯤ ꯃꯊꯛꯇꯥ ꯁꯛꯇꯤ ꯂꯩ꯫
1143,in the name of god the gracious the merciful,ꯊꯧꯖꯥꯜ ꯍꯩꯕꯥ ꯏꯁ꯭ꯕꯔꯒꯤ ꯃꯤꯡꯗꯥ꯫
1144,praise be to god who created the heavens and the earth and made the darkness and the light yet those who disbelieve ascribe equals to their lord,ꯑꯇꯤꯌꯥ ꯑꯃꯁꯨꯡ ꯄ꯭ꯔ꯭ꯏꯊꯤꯕꯤ ꯁꯦꯝꯕꯤꯕꯥ ꯑꯃꯁꯨꯡ ꯑꯃꯝꯕꯥ ꯑꯃꯁꯨꯡ ꯃꯉꯥꯜ ꯁꯦꯝꯕꯤꯕꯥ ꯃꯄꯨꯕꯨ ꯊꯥꯒꯠꯆꯔꯤ ꯑꯗꯨꯕꯨ ꯊꯥꯖꯗꯕꯁꯤꯡꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯃꯄꯨꯒꯥ ꯃꯥꯟꯅꯩ ꯍꯥꯌꯅꯥ ꯂꯧꯏ꯫
1145,it is he who created you from clay then decided a terma term determined by him yet you doubt,ꯃꯁꯤ ꯃꯍꯥꯛꯅꯥ ꯅꯈꯣꯌꯕꯨ ꯀ꯭ꯂꯦꯏꯗꯒꯤ ꯁꯦꯃꯈꯤꯕꯥ ꯃꯇꯨꯡꯗꯥ ꯃꯍꯥꯛꯅꯥ ꯂꯦꯄꯈꯤꯕꯥ ꯇꯦꯔꯃꯥ ꯇꯔꯝ ꯑꯃꯥ ꯂꯦꯄꯈꯤ ꯑꯗꯨꯕꯨ ꯅꯈꯣꯌꯅꯥ ꯆꯤꯡꯅꯕꯥ ꯂꯩ꯫
1146,he is god in the heavens and the earth he knows what you keep secret and what you make public and he knows what you earn,ꯃꯍꯥꯛ ꯁ꯭ꯕꯔꯒ ꯑꯃꯁꯨꯡ ꯄ꯭ꯔ꯭ꯏꯊꯤꯕꯤꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯏꯄꯨꯔꯣꯌꯅꯤ ꯃꯍꯥꯛꯅꯥ ꯅꯈꯣꯌꯅꯥ ꯆꯨꯃꯗ꯭ꯔꯤꯡꯅꯥ ꯊꯝꯂꯤꯕꯥ ꯑꯃꯁꯨꯡ ꯅꯈꯣꯌꯅꯥ ꯃꯤꯌꯥꯃꯗꯥ ꯈꯉꯍꯜꯂꯤꯕꯁꯤꯡ ꯑꯗꯨ ꯈꯉꯏ ꯑꯃꯁꯨꯡ ꯅꯈꯣꯌꯅꯥ ꯐꯪꯂꯤꯕꯥ ꯑꯗꯨ ꯃꯍꯥꯛꯅꯥ ꯈꯉꯏ꯫
1147,not one of their lords signs comes to them but they turn away from it,ꯃꯈꯣꯌꯒꯤ ꯔꯕ꯭ꯕꯀꯤ ꯈꯨꯗꯝ ꯑꯃꯠꯇꯥ ꯃꯈꯣꯌꯗꯥ ꯂꯥꯀꯄꯥ ꯉꯃꯗꯦ ꯑꯗꯨꯕꯨ ꯃꯈꯣꯌꯅꯥ ꯃꯗꯨꯗꯒꯤ ꯂꯥꯄꯊꯣꯀꯏ꯫
1148,they denied the truth when it has come to them but soon will reach them the news of what they used to ridicule,ꯃꯈꯣꯌꯗꯥ ꯂꯥꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯑꯆꯨꯝꯕꯥ ꯑꯗꯨ ꯌꯥꯅꯤꯡꯗꯕꯥ ꯐꯣꯡꯗꯣꯀꯈꯤ ꯑꯗꯨꯕꯨ ꯑꯊꯨꯕꯥ ꯃꯇꯃꯗꯥ ꯃꯈꯣꯌꯅꯥ ꯂꯥꯟꯅꯥ ꯂꯃꯖꯤꯡꯕꯤꯔꯝꯕꯥ ꯑꯗꯨꯒꯤ ꯄꯥꯎ ꯑꯗꯨ ꯃꯈꯣꯌꯗꯥ ꯌꯧꯔꯛꯀꯅꯤ꯫
